pop1	pop2	FST	lower_limit	is_significant
Wooster	Cleveland	-0.0011855334582478452	-0.0017607552933018049	FALSE
Wooster	Medina	-2.111486486486327e-4	-0.019816071887336126	FALSE
Cleveland	Medina	0.010733585017395809	-0.00845352179615488	FALSE
